yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentage,UBO_date,UBO_start_time,UBO_end_time,UBO_start_capped,UBO_end_uncapped,UBO_percentile,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Martin,,27,11,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,10,150,66,0.56,,,,,,,,,10,3,3.333333333,150000,,,,,,,,,,
Fortin,,80,2,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,24,136,20,0.8529,,,,,,,,,0,2,0,100000,,,,,,,,,,
Fortin,,75,4,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,NA,NA,NA,NA,,,,,,,,,0,28,0,1400000,,,,,,new Q,,,,
Fortin,,73,9,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,14,146,101,0.3082,,,,,,,,,2,0,0.666666667,0,,,,,,re-do HB test,,,,
Fortin,,74,6,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,11,149,19,0.8725,,,,,,,,,0,5,0,250000,,,,,,,,,,
Fortin,,81,10,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,26,134,33,0.7537,,,,,,,,,0,7,0,350000,,,,,,,,,,
Fortin,,76,20,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,20,140,59,0.5786,,,,,,,,,5,0,1.666666667,0,,,,,,,,,,
Fortin,,78,21,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,14,146,66,0.5479,,,,,,,,,0,0,0,0,,,,,,,,,,
Fortin,,79,22,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,16,144,83,0.4236,,,,,,,,,0,0,0,0,,,,,,,,,,
Fortin,,77,19,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,23,137,49,0.6423,,,,,,,,,5,1,1.666666667,50000,,,,,,,,,,
Fortin,,82,25,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,24,136,46,0.6618,,,,,,,,,3,4,1,200000,,,,,,,,,,
Fortin,,83,16,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,5,155,59,0.6194,,,,,,,,,1,2,0.333333333,100000,,,,,,,,,,
Ferland,,68,3,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,15,145,57,0.6069,,,,,,,,,4,3,1.333333333,150000,,,,,,,,,,
Ferland,,67,1,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,31,129,58,0.5504,,,,,,,,,2,0,0.666666667,0,,,,,,,,,,
Ferland,,69,18,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,NA,NA,NA,NA,,,,,,,,,1,2,0.333333333,100000,,,,,,,,,,
Ferland,,70,22,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,21,139,26,0.8129,,,,,,,,,0,2,0,100000,,,,,,,,,,
Ferland,,71,21,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,10,150,62,0.5867,,,,,,,,,1,3,0.333333333,150000,,,,,,,,,,
Ferland,,72,20,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,38,122,39,0.6803,,,,,,,,,0,16,0,800000,,,,,,,,,,
Brigham,,35,1,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,12,148,85,0.4257,,,,,,,,,0,1,0,50000,,,,,,,,,,
Brigham,,38,7,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,20,140,13,0.9071,,,,,,,,,0,0,0,0,,,,,,,,,,
Brigham,,36,4,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,9,151,81,0.4636,,,,,,,,,0,0,0,0,,,,,,,,,,
